"id","name","link","menu_link","rating","reviews","price"
47,"Restaurant Riad Kalaa","https://www.tripadvisor.com/Restaurant_Review-g293736-d3158462-Reviews-Restaurant_Riad_Kalaa-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",146,"$$ - $$$"
48,"Amber Bar","https://www.tripadvisor.com/Restaurant_Review-g293736-d8604706-Reviews-Amber_Bar-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",115,"$$ - $$$"
49,"Chez Ouazzani","https://www.tripadvisor.com/Restaurant_Review-g293736-d779636-Reviews-Chez_Ouazzani-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",133,"$$ - $$$"
50,"Fino Resto","https://www.tripadvisor.com/Restaurant_Review-g293736-d12940183-Reviews-Fino_Resto-Rabat_Rabat_Sale_Kenitra.html","http://Facebook.com/allactivity?privacy_source=activity_log_top_menu","4.5",15,"$$ - $$$"
51,"Babel Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d14043485-Reviews-Babel_Rabat-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",45,"$"
52,"Restaurant Le Ziryab","https://www.tripadvisor.com/Restaurant_Review-g293736-d1148049-Reviews-Restaurant_Le_Ziryab-Rabat_Rabat_Sale_Kenitra.html","http://www.restaurantleziryab.com/menu/","3.5",217,"$$$$"
53,"Goethe-Institut Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d2722497-Reviews-Goethe_Institut_Rabat-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",101,"$$ - $$$"
54,"Borjeddar","https://www.tripadvisor.com/Restaurant_Review-g293736-d3682217-Reviews-Borjeddar-Rabat_Rabat_Sale_Kenitra.html",NULL,"3.5",186,"$$ - $$$"
55,"Zayyane","https://www.tripadvisor.com/Restaurant_Review-g293736-d4582564-Reviews-Zayyane-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",136,"$$ - $$$"
56,"Naga Thaï Cuisine","https://www.tripadvisor.com/Restaurant_Review-g293736-d7077015-Reviews-Naga_Thai_Cuisine-Rabat_Rabat_Sale_Kenitra.html","http://www.naga.ma/menu_gird.html","4",142,"$$ - $$$"
57,"Cafe Mazarine","https://www.tripadvisor.com/Restaurant_Review-g293736-d10046220-Reviews-Cafe_Mazarine-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",9,NULL
58,"Matsuri","https://www.tripadvisor.com/Restaurant_Review-g293736-d1220036-Reviews-Matsuri-Rabat_Rabat_Sale_Kenitra.html",NULL,"4",91,"$$$$"
59,"Maymana","https://www.tripadvisor.com/Restaurant_Review-g293736-d7202701-Reviews-Maymana-Rabat_Rabat_Sale_Kenitra.html",NULL,"4.5",55,"$$ - $$$"
60,"La Tradition","https://www.tripadvisor.com/Restaurant_Review-g293736-d19063311-Reviews-La_Tradition-Rabat_Rabat_Sale_Kenitra.html",NULL,"5",16,"$"
61,"Casa Jose Rabat","https://www.tripadvisor.com/Restaurant_Review-g293736-d12288578-Reviews-Casa_Jose_Rabat-Rabat_Rabat_Sale_Kenitra.html","http://grupocasajose.com/notre-menu/","3.5",219,"$$ - $$$"
